,slug,bucketMonthly,sum
0,0x-splits,2022-10-01,68.0
1,0x-splits,2023-02-01,5.0
2,0x-splits,2023-03-01,51.0
3,0x-splits,2023-04-01,27.0
4,0x-splits,2023-05-01,3.0
5,0x-splits,2023-06-01,44.0
6,0x-splits,2023-07-01,127.0
7,0x-splits,2023-08-01,115.0
8,0x-splits,2023-09-01,201.0
9,0x-splits,2023-10-01,43.0
10,0x-splits,2023-11-01,3.0
11,1-inch,2021-11-01,3226.0
12,1-inch,2021-12-01,10245.0
13,1-inch,2022-01-01,4835.0
14,1-inch,2022-02-01,3459.0
15,1-inch,2022-03-01,4010.0
16,1-inch,2022-04-01,12660.0
17,1-inch,2022-05-01,32327.0
18,1-inch,2022-06-01,46537.0
19,1-inch,2022-07-01,12550.0
20,1-inch,2022-08-01,26279.0
21,1-inch,2022-09-01,51724.0
22,1-inch,2022-10-01,93136.0
23,1-inch,2022-11-01,98236.0
24,1-inch,2022-12-01,95688.0
25,1-inch,2023-01-01,81821.0
26,1-inch,2023-02-01,77076.0
27,1-inch,2023-03-01,87732.0
28,1-inch,2023-04-01,72097.0
29,1-inch,2023-05-01,64482.0
30,1-inch,2023-06-01,63808.0
31,1-inch,2023-07-01,65494.0
32,1-inch,2023-08-01,56230.0
33,1-inch,2023-09-01,41351.0
34,1-inch,2023-10-01,33350.0
35,1-inch,2023-11-01,8195.0
36,1w3,2023-07-01,12.0
37,2-pi-network,2022-09-01,138.0
38,2-pi-network,2022-10-01,188.0
39,2-pi-network,2022-11-01,279.0
40,2-pi-network,2022-12-01,814.0
41,2-pi-network,2023-01-01,1027.0
42,2-pi-network,2023-02-01,643.0
43,2-pi-network,2023-03-01,662.0
44,2-pi-network,2023-05-01,3.0
45,aave,2022-03-01,433.0
46,aave,2022-04-01,2728.0
47,aave,2022-05-01,2519.0
48,aave,2022-06-01,3900.0
49,aave,2022-07-01,4707.0
50,aave,2022-08-01,27540.0
51,aave,2022-09-01,34969.0
52,aave,2022-10-01,39716.0
53,aave,2022-11-01,52955.0
54,aave,2022-12-01,47270.0
55,aave,2023-01-01,18388.0
56,aave,2023-02-01,7851.0
57,aave,2023-03-01,16207.0
58,aave,2023-04-01,6771.0
59,aave,2023-05-01,3141.0
60,aave,2023-06-01,4038.0
61,aave,2023-07-01,5537.0
62,aave,2023-08-01,8114.0
63,aave,2023-09-01,9194.0
64,aave,2023-10-01,8536.0
65,aave,2023-11-01,1743.0
66,abacus,2022-06-01,160.0
67,abacus,2022-07-01,839.0
68,abacus,2022-08-01,1566.0
69,abacus,2022-09-01,1445.0
70,abacus,2022-10-01,1487.0
71,abacus,2022-11-01,1761.0
72,abacus,2022-12-01,2100.0
73,abacus,2023-01-01,3219.0
74,abacus,2023-02-01,1238.0
75,abacus,2023-03-01,813.0
76,abacus,2023-04-01,794.0
77,abacus,2023-05-01,313.0
78,abacus,2023-06-01,264.0
79,abacus,2023-07-01,337.0
80,abacus,2023-08-01,269.0
81,abacus,2023-09-01,301.0
82,abacus,2023-10-01,305.0
83,abacus,2023-11-01,59.0
